ransom_group_no,categories
fivestarproducts.com,Customer
fivestarproducts.com,Financial
fivestarproducts.com,Internal Documents
fivestarproducts.com,Location
fivestarproducts.com,Media
fivestarproducts.com,PII
fivestarproducts.com,Strategic
fivestarproducts.com,Trade Secrets
planethomelending.com,Media
fbrlaw.com,Financial
fbrlaw.com,Internal Documents
fbrlaw.com,PII
fbrlaw.com,Source Code
fbrlaw.com,Strategic
tdsb.on.ca,Financial
tdsb.on.ca,Internal Documents
ccofva.com,Customer
ccofva.com,Financial
ccofva.com,Internal Documents
ccofva.com,Location
ccofva.com,Media
ccofva.com,PII
ccofva.com,System Configurations
dagma.com.ar,Customer
dagma.com.ar,Financial
dagma.com.ar,Health
dagma.com.ar,Internal Documents
dagma.com.ar,Media
dagma.com.ar,Private Communications
disb.dc.gov,Financial
disb.dc.gov,Health
disb.dc.gov,Internal Documents
disb.dc.gov,PII
disb.dc.gov,Private Communications
acla.de,Financial
hpo.pe,Location
hpo.pe,Media
huntongroup.com,Financial
huntongroup.com,Internal Documents
gpaa.gov.za,Financial
gpaa.gov.za,Health
gpaa.gov.za,Internal Documents
gpaa.gov.za,Media
gpaa.gov.za,PII
bnpmedia.com,Customer
bnpmedia.com,Financial
bnpmedia.com,Internal Documents
acsistemas.com,Credentials
acsistemas.com,Financial
acsistemas.com,Internal Documents
lakelandchamber.com,Internal Documents
lakelandchamber.com,Private Communications
acdcexpress.com,Media
acdcexpress.com,Private Communications
ufresources.com,Customer
ufresources.com,Financial
ufresources.com,Internal Documents
ufresources.com,PII
gbricambi.it,Financial
gbricambi.it,Internal Documents
anwaltskanzlei-kaufbeuren.de,Financial
anwaltskanzlei-kaufbeuren.de,Internal Documents
anwaltskanzlei-kaufbeuren.de,Media
anwaltskanzlei-kaufbeuren.de,Private Communications
binder.de,Customer
binder.de,Financial
binder.de,Internal Documents
binder.de,Private Communications
utc-silverstone.co.uk,Financial
efile.com,Customer
efile.com,Financial
efile.com,Internal Documents
efile.com,PII
efile.com,Source Code
efile.com,System Configurations
